Id;Semantic
Ocean;5.076923076923077
Hippolyte;2.5238095238095237
Adonis;11.384891774891775
Daphne;6.482445643731554
Honor;5.048265460030166
Hades;29.14117441880154
Island;4.6674806674806675
Bed;2.857142857142857
Jason;76.92859534419215
Ares;3.9241758241758244
Goddess;17.024655927799945
Minotaur;15.85909090909091
Narcissus;8.1
Arms;8.037240537240537
Anira;2.8241758241758244
Flowers;2.6931818181818183
Althaea;7.113186813186813
Artemis;8.918620268620268
Colchis;6.786363636363637
Argonauts;6.439144736842105
Time;26.843260403153526
Aeetes;14.63343586238323
Way;7.934970476280146
Persephone;28.345147373305544
Sun;5.693122102916154
Spear;4.200985221674877
Charon;8.0
Heracles;239.4909844316246
Alcmena;5.074175824175825
Enna;2.8737373737373737
Ears;6.534883720930233
Clymene;3.966479257176932
Mycenae;3.6553446553446554
Deed;3.5025252525252526
Had;3.333333333333333
Daughter;6.507759784075574
Gold;4.388888888888889
Sisters;4.070512820512821
Niobe;12.998095238095239
Nymphs;4.428571428571429
Pelias;43.757265459675665
Back;2.6553446553446554
Love;16.12883281549132
Polydectes;15.378349553537522
Boy;6.058464307010819
Hands;5.824175824175825
Maia;1.8333333333333333
Silenus;6.1875
Trident;3.444444444444444
Wisdom;3.1057471264367815
Ing;4.385478506168162
Month;2.6136363636363638
Nereus;4.282983804961827
Aphrodite;24.73668848269496
Minos;24.700555948245178
Argo;16.835362554112553
Bender;2.376647834274953
Task;3.8241758241758244
Tmolus;10.480261872190738
Others;2.6813186813186816
Atlas;4.074074074074074
Olympus;22.914447600329954
Muses;3.0340740740740744
Crete;22.058137695637697
Hair;2.442857142857143
Powers;2.937812187812188
Andromeda;8.183838383838383
Atalanta;34.3144975096588
First;5.681318681318682
Fangs;3.0054945054945055
Poseidon;14.499606775559588
Pan;6.0588235294117645
Heart;3.587121212121212
Months;3.263529411764706
Box;4.2344322344322345
House;3.253393665158371
Person;1.4210526315789473
Land;12.649581490164449
Stables;6.303696303696304
Mother;16.55160406448542
Country;3.533333333333333
Galatea;6.2
Sword;3.931638418079096
Horses;2.871794871794872
Heroes;13.174928163741214
Argos;6.115789473684211
Demeter;25.17771205553992
Lolaus;3.3901098901098905
Refuge;3.2871939736346514
Girl;3.96
Lion;3.4725274725274726
Baby;2.730769230769231
Wings;5.028985507246377
Meadow;3.694989221305011
Aethra;14.00436569080637
Husband;4.230769230769231
Place;6.2536497400904185
Artist;4.255434782608695
One;31.58916083916084
Boar;6.50976800976801
Apollo;64.8294106857747
Iphicles;8.021978021978022
Hand;13.67234863378931
Face;7.272601010101011
Athenians;16.593887023060248
Horse;5.502857142857143
Daedalus;22.76590909090909
Gorgons;5.407407407407407
Gorgon;2.4650515176830963
Augeas;15.370516983016984
Ninus;5.425
Midas;22.933718180718376
Endymion;3.0555555555555554
Bride;2.517948717948718
Cattle;7.326442223627046
Jaws;3.7828947368421053
Beast;4.148351648351649
Strength;6.885585003232062
Home;4.491227698854818
Centaur;5.821263736263736
Stone;3.330508474576271
Bellerophon;27.63554434676032
Hydra;8.77952047952048
Greece;19.27978272091302
Iris;4.990769230769231
Sea;9.83045666666899
Theseus;84.68589752840995
Thebes;7.4326923076923075
Death;4.70995670995671
Mountain;4.3590595451060565
Amphitryon;6.324175824175825
Admetus;43.39975074759128
Pegasus;10.175396825396826
Woods;3.6001788908765655
Deucalion;6.582456140350877
Orpheus;10.65
Sight;2.8982498982498983
Athamas;12.700501253132831
Cheiron;12.504478854478855
Beauty;10.88946053946054
Greek;9.827799977799978
Geryon;7.693872793872794
Arachne;18.530482161516645
Part;3.3499000999001
Tomb;5.925
Bull;5.423763736263736
God;23.307549088786995
Uncles;4.967948717948718
Cupid;10.572867608581895
Spain;2.4923076923076923
Apples;2.034702139965298
Weight;3.0674325674325678
Gift;4.8159218559218555
Thing;3.3208273208273207
Icarus;9.660869565217391
Stood;1.994871794871795
Pillars;6.855855396892485
Year;4.588249898249899
Hermes;29.3750834979584
Calydon;3.7444444444444445
Woman;6.2260101010101
Epimetheus;9.605022883295195
Pyrrha;4.0855263157894735
Nothing;15.821567896868116
Athens;27.815382229633308
Fleece;6.2064393939393945
Helle;7.212121212121212
Perseus;45.30487506645402
Echo;5.671428571428571
Chariot;4.179487179487179
Deianira;8.811263736263736
Prometheus;10.055338608759662
Monster;4.352747252747253
Justice;2.865536723163842
Apple;1.717948717948718
Greeks;13.59979639626976
Hyacinthus;8.659330011074196
Aegeus;19.012657454680134
Eyes;5.782509157509157
Labors;9.058275058275058
Wind;5.876176041873716
Pyramus;8.810714285714285
Ino;7.261904761904762
Was;3.5
Gods;19.345938428180716
None;7.897885855512974
Son;16.907862040070277
Hera;6.143916083916084
Great;6.493543179983858
Thisbe;15.981886534518114
Half;3.25
Medea;36.305346392164765
Aeson;5.678030303030303
Cassiopeia;3.142857142857143
Labor;6.468198468198468
Ship;4.586163836163836
North;7.747252747252747
Coward;3.070929070929071
Lyre;4.358139534883721
Nephele;3.393939393939394
Ghosts;6.176470588235294
Eos;1.0666666666666667
Pale;2.9946524064171123
Eurystheus;57.53509137382764
Story;2.542124542124542
Metaneira;4.846153846153847
Lights;2.5
Arrow;6.251098901098901
Fire;6.394811710029101
Lamp;3.153846153846154
Africa;6.066666666666666
River;8.39532977324873
Brother;2.72883295194508
Maiden;3.3737373737373737
Phaethon;24.34792309231385
Sinis;2.598870056497175
Asia;3.5
Dionysus;22.09159663865546
Thereupon;4.584415584415584
Dark;2.6483516483516487
Valley;2.326923076923077
Ground;2.6483516483516487
Men;21.40440354834646
