Id;Semantic
Sif;7.078564745234153
Volsung;4.687850271418365
Bor;5.2216844386909065
Thrudvang;1.9944744591699286
Uller;4.058809041952147
Gna;1.8372346666537331
Ring;3.594452741206388
Niflheim;8.732255704627544
Brynhild;13.444367734527148
Siner;1.7705128205128204
Goddess;3.3142577079051536
Narfe;3.0559479581299973
Freyja;28.776493327939335
Honer;7.152697966176429
Hnikar;4.359716773086452
Alfather;12.477218736571837
Hel;18.625842000920258
Name;65.61260589514521
Mimer;9.030306376754206
Time;4.354337613230085
Falhofner;1.7705128205128204
Norse;24.061607324330467
Way;4.402582294908834
Sun;4.767883100914016
Idun;13.869558806722626
Daughter;9.154314004223783
Nep;2.299582339555713
Hermod;7.619387427543915
Gold;9.877605255410629
Sisters;21.043643714247054
Peace;2.700667659904167
Njord;22.317542412600176
Thride;7.45055281439484
Stream;3.8727976659594323
Otter;3.7745657182538697
Gunnar;18.5645377172745
Jormunrek;12.790939425481215
Mill;4.19622200028751
Gerd;7.287245448216848
Greip;3.0178950456559277
Hymer;14.453147000086277
Hands;4.843556013805221
Ganglere;21.562838194309
Things;5.039365376519391
Flint-stone;3.710023409236008
Norns;7.333333333333333
Race;7.237025867214546
Biflinde;3.236737119544733
Asas;18.48155335596
Fridleif;2.2014621518313913
Har;50.23755672799773
Gler;2.016379846568526
Hair;2.653542800566087
Thud;3.305849711017495
Suttung;9.948357654703797
Moon;3.4866498766891953
Vale;8.92407852047042
Heart;3.5220228506966538
Land;7.24694923860487
Atrid;2.3004602792182807
Mother;8.034108252085169
Country;3.9437615721119093
Der;2.0276215473065866
Frode;12.416609163641795
Sword;8.88178805165559
Horses;2.9939892883187973
Draupner;1.95675473951336
Loge;9.071806333970803
Footnote;5.494568787131154
Pompey;7.056132546698585
Thund;1.9045859800576783
Roman;12.650273334580744
Elder;18.46745021063301
Saga;2.642917649196532
Nidhug;4.67165357343961
Nordischen;2.1863517060367452
Jupiter;3.3513914183725504
Ymer;6.311267326366904
Yngve;1.7009796398794295
Froste;1.2846356043550153
Jafnhar;10.642063857592326
Hreidmar;12.0461171415748
Jalk;5.695913972430755
Herjan;4.001269761456371
Grane;3.5351870015670697
Husband;2.6313704992749978
Place;8.439683891000675
Boar;2.245580014830084
Berserks;3.8085317640820633
Nanna;2.71790571987665
Morning;2.587473247691794
Hand;2.9652777977082465
Nare;2.7320387315874077
Streams;7.572842839337317
Æneas;7.503925634114314
Norway;6.823035234193752
Heaven;3.801435006633201
Black;6.606422380864572
Horse;10.509401628812558
Frey;51.01282737868975
Upsala;3.515277287199886
Baleyg;3.8161247723919476
Hard;4.937669376693767
Said;16.90037582073938
Svithjod;17.230013037703017
Seeland;3.5468205397213963
Thjalfe;13.311521159130777
Strength;3.74109308034076
Home;8.1296231664185
Loke;100.57661723624119
Fjolsvid;3.4401908423016625
Bestla;2.7062364206334344
Helblinde;3.2563376442085
Kvaser;1.847420197293916
Increase;2.7555298129043537
Foot;3.1866827457378637
Sea;10.709085607545285
Glapsvid;3.310674140334357
Drew;4.257534825435682
Von;2.8012748406449193
Budle;2.6849597376936942
Death;6.131791714771003
Glad;2.7396825396825397
Fjolner;4.349806572247189
Prophecy;7.416266107159813
Hvergelmer;26.652913262786846
Turkland;4.003669498952518
Odin;214.99589351809172
Herikon;2.2783018867924527
Njorvasound;1.2197802197802199
Sleipner;6.704981768286888
Asynjes;3.87052779972287
Giant;13.699710652997355
Saxland;2.4670855134506633
World;12.08216928986092
Svidur;2.524257974729673
Valkyrie;6.01141123842441
Vog;6.064134432410715
God;7.830258755477946
Oske;3.186149342541862
Serpent;5.830678471048483
Tyr;8.923602847699417
Chapter;5.558555944946144
Hler;4.123974979091345
Skuld;4.265875753667096
Wolf;5.083849581807933
Mundilfare;2.343333431697716
Woman;3.6602164050433035
Daughters;3.387785131984693
Hence;11.46698745578584
Sigfather;2.843129916493451
Troy;6.128877214182558
Sidskeg;3.2338857366060663
Shakspeare;7.0588235294117645
Orvandel;4.008908708782427
Greeks;7.276923076923078
Dwarf;26.353983926222178
Gudrun;10.811414543898405
Sigurd;45.01533637565059
Sigmund;2.2887237305839165
Europe;6.773292541716516
Eyes;2.881918843820944
Grimner;12.879686914217793
Sweden;12.255039911470739
Drink;3.533468104222821
Gylfe;15.023415857057312
Vafurloge;2.4983059720065404
Fate;7.051282051282051
Gods;22.361081341395014
Son;23.550157638701517
Ragnarok;11.595349387664422
Fyrisvold;3.6655279356811667
Great;10.805926344312812
Edda;20.63306692848341
Asgard;18.505465230251918
Forestier;1.4904212451693644
Giants;3.6245764237890223
Gyller;2.4941576243463035
Ship;3.4903845917061855
Virgil;6.0710899163729355
North;5.330598804929652
Yrsa;2.9494816452304606
Sorle;9.654375184563865
Names;6.710517603017896
Harbard;2.41897152052535
Farmatyr;2.1609621192622024
Noatun;4.399279727184373
Fafner;21.238443640327297
Story;4.670452028030802
Ginungagap;8.857234002692238
Balder;43.68652282361769
Hild;4.857124647318901
Swedes;10.034513417005163
Gjuke;9.97596800267361
Night;5.536119353095417
Atle;9.525665537552376
Bileyg;3.6199260461957423
Vidar;14.840100733183585
Hnikud;3.6848067455079625
Fire;7.363583516072792
Niblung;6.551142249968633
Hammer;7.672489766283189
Hrungner;21.92365642691697
Thjasse;9.543466421362854
Hall;10.97585373175652
Fenris-wolf;6.169239767888384
Brother;7.683728366782768
Ironwood;3.6986912403697048
River;5.847596028330741
Ome;2.680268431000573
Witches;8.666666666666666
Asia;10.70093510580326
Adils;10.021435930177034
Thereupon;20.257279743754278
