,Odin,Thor,Loke,Name,Son
Odin,0.0,0.2412171554639871,0.24499986928815515,0.2646327189585957,0.24177661795493138
Thor,0.2891191748215931,0.0,0.28530424932765297,0.31453480541364537,0.27957322402804435
Loke,0.300408135265383,0.29267908842742496,0.0,0.48368342140056736,0.4086312369097462
Name,0.4175168600194549,0.41641240812823743,0.6250691286294973,0.0,0.608141842450432
Son,0.274342058258672,0.2679458384334148,0.38148270102035414,0.4333383542471979,0.0
